wage,school,age
8.0000000457,10.5,30
13.1111118316,11.5,26
8.0000000457,11.5,24
12.500000728,13,22
12.4675316155,12,47
10.63829757,10.5,47
26.4444448098,14.5,47
12.0000002837,9,47
13.1666676192,11,46
2.666666629,10.5,46
4.1249998278,11.5,46
14.0476195622,16,46
12.6582278715,11.5,46
13.0886088203,11.5,46
17.2800001206,11.5,46
14.2857142518,11.5,46
12.9999989158,10.5,46
12.3684205447,10.5,46
10.6666665567,10.5,46
26.6666671428,13.5,46
12.500000728,10.5,45
11.2820504278,11,45
9.5999999749,10.5,45
12.9999989158,11.5,44
10.2380954204,14,44
15.1617960878,16,44
8.9743585572,10.5,44
11.9047619757,10.5,44
17.7499988363,18,44
14.5238097758,16,44
11.3125002045,11.5,44
19.1428555798,18,44
18.0777764068,15,44
10.4347830394,10.5,43
15.5555564972,18,43
21.4000010315,18,43
7.309999965,10.5,43
13.1428565348,12,43
9.7499993431,11.5,43
15.0000007486,12,43
17.5000016535,18,43
26.6666671428,15,43
13.9583331559,10.5,43
7.6923069918,10.5,43
18.1818182273,13,43
10.0000003197,10.5,43
9.000000357,10.5,43
3.3823531413,9,42
33.3333348039,15,42
11.7777766193,10.5,42
15.6250013203,12,42
18.4222241106,15,42
7.7922074495,10.5,41
18.7500014281,18,41
12.2222229025,12,41
9.7142849638,10.5,41
5.8333330734,10.5,41
87.4999900373,12,41
11.7948731359,11.5,41
10.6666665567,11,41
7.9783333483,13,41
12.2352933708,11.5,41
21.874997426,10.5,41
10.0000003197,10.5,41
12.0000002837,10.5,40
23.9688871457,17,40
9.9904752681,10.5,40
18.5266669181,15,40
21.1428586205,18,40
13.1818197265,11.5,40
13.1578934018,12,40
16.0000001219,14,39
9.1282046983,10.5,39
13.3047603338,11,39
10.0000003197,10.5,39
11.9047619757,12,39
4.2857142235,14.5,39
14.2857142518,11.5,39
16.2499990715,16,39
22.7848103873,13,39
8.1999994139,11.5,39
6.1818184595,10.5,39
12.500000728,12,38
7.9139526311,10.5,38
6.7272724026,11.5,38
12.5581397796,10,38
12.0000002837,10.5,38
10.3950607628,11.5,38
15.4761887829,11.5,37
10.0000003197,11.5,37
11.9480510204,11.5,37
12.9919986212,9,37
16.3090925022,14.5,37
11.2500007417,10.5,37
12.9999989158,11.5,37
14.2857142518,14.5,37
10.6097561332,11.5,37
8.0000000457,11.5,37
20.0000006776,15,37
11.4285711013,11.5,37
12.8349993062,14,37
14.1666665759,11,37
11.9480510204,11.5,37
15.2173930105,11.5,36
30.2499965054,18,36
14.4999986971,18,36
13.7500012322,16,36
13.8888895909,16,36
7.50000036,10.5,36
16.0000001219,18,36
